Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price_Clean,Region_Type,Make_Origin,Car_Age
Lexus,LX,2020,Saudi,White,Full,5.7,Gas,Automatic,Used,14000,Jeddah,1724940000.0,Urban,Japan,4
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,13000,Riyadh,1724940000.0,Urban,Japan,4
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,27000,Riyadh,1716726000.0,Urban,Japan,4
Lexus,LX,2020,Saudi,Black,Full,5.7,Gas,Automatic,Used,10800,Jeddah,1716726000.0,Urban,Japan,4
Mercedes,CLA,2020,Other,Black,Full,2.0,Gas,Automatic,Used,15000,Riyadh,1683870000.0,Urban,Europe,4
BMW,X,2020,Other,White,Full,4.0,Gas,Automatic,Used,1000,Qassim,1683870000.0,Suburban,Europe,4
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,19131,Riyadh,1669495500.0,Urban,Japan,4
Land Rover,Range Rover,2019,Gulf Arabic,White,Full,3.0,Gas,Automatic,Used,49626,Riyadh,1648960500.0,Urban,Europe,5
Land Rover,Range Rover,2019,Other,White,Full,4.0,Gas,Automatic,Used,36000,Riyadh,1642800000.0,Urban,Europe,5
Aston Martin,Vanquish,2013,Saudi,Another Color,Full,6.0,Gas,Automatic,Used,32000,Dammam,1642800000.0,Urban,Europe,11
Lexus,LX,2020,Saudi,Black,Full,5.7,Gas,Automatic,Used,35000,Jeddah,1622265000.0,Urban,Japan,4
Mercedes,S,2020,Saudi,Black,Full,3.5,Gas,Automatic,Used,19700,Dammam,1622265000.0,Urban,Europe,4
Mercedes,S,2018,Saudi,Another Color,Semi Full,3.0,Gas,Automatic,Used,590,Dammam,1601730000.0,Urban,Europe,6
BMW,The M,2020,Saudi,Black,Full,6.0,Gas,Automatic,Used,13000,Riyadh,1581195000.0,Urban,Europe,4
Maserati,Levante,2020,Saudi,Blue,Full,3.0,Gas,Automatic,Used,3000,Dammam,1581195000.0,Urban,Europe,4
BMW,The 7,2021,Gulf Arabic,Another Color,Full,2.0,Gas,Automatic,Used,1500,Al-Ahsa,1580784300.0,Suburban,Europe,3
Lexus,LX,2019,Saudi,White,Full,5.7,Gas,Automatic,Used,41142,Riyadh,1564767000.0,Urban,Japan,5
Porsche,Other,2020,Saudi,Grey,Full,5.0,Hybrid,Automatic,Used,18000,Khobar,1540125000.0,Urban,Europe,4
Mercedes,GLE,2020,Saudi,Navy,Full,3.0,Gas,Automatic,Used,13000,Dammam,1540125000.0,Urban,Europe,4
Mercedes,S,2021,Saudi,Grey,Full,4.0,Gas,Automatic,Used,49000,Jeddah,1540125000.0,Urban,Europe,3
Land Rover,Range Rover,2019,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,38000,Dammam,1540125000.0,Urban,Europe,5
Mercedes,G,2013,Saudi,Black,Full,6.0,Gas,Automatic,Used,32800,Dammam,1540125000.0,Urban,Europe,11
Lexus,LX,2018,Saudi,Navy,Full,5.7,Gas,Automatic,Used,94800,Riyadh,1519590000.0,Urban,Japan,6
Maserati,Levante,2020,Saudi,Blue,Full,3.0,Gas,Automatic,Used,500,Dammam,1519590000.0,Urban,Europe,4
Lexus,LX,2018,Saudi,Navy,Full,5.7,Gas,Automatic,Used,98000,Riyadh,1499055000.0,Urban,Japan,6
Land Rover,Range Rover,2018,Saudi,Black,Full,4.0,Gas,Automatic,Used,44000,Jeddah,1499055000.0,Urban,Europe,6
Mercedes,S,2020,Gulf Arabic,Black,Full,3.0,Gas,Automatic,Used,53000,Dammam,1499055000.0,Urban,Europe,4
Mercedes,S,2020,Gulf Arabic,Black,Full,3.0,Gas,Automatic,Used,46000,Dammam,1499055000.0,Urban,Europe,4
Lexus,LX,2018,Other,White,Full,5.7,Gas,Automatic,Used,107000,Riyadh,1499055000.0,Urban,Japan,6
Porsche,Cayenne,2019,Saudi,Grey,Full,3.6,Gas,Automatic,Used,36000,Riyadh,1478520000.0,Urban,Europe,5
Lexus,LS,2020,Saudi,White,Full,3.6,Hybrid,Automatic,Used,27000,Riyadh,1478520000.0,Urban,Japan,4
Lexus,LX,2018,Saudi,Navy,Full,5.7,Gas,Automatic,Used,95000,Jeddah,1457985000.0,Urban,Japan,6
Lexus,LX,2018,Saudi,White,Full,1.0,Gas,Automatic,Used,105000,Riyadh,1457985000.0,Urban,Japan,6
Mercedes,S,2019,Gulf Arabic,Black,Semi Full,3.5,Gas,Automatic,Used,80000,Riyadh,1457985000.0,Urban,Europe,5
Land Rover,Range Rover,2019,Other,Black,Full,4.0,Gas,Automatic,Used,1800,Riyadh,1437450000.0,Urban,Europe,5
Lexus,LX,2018,Saudi,Silver,Full,5.7,Gas,Automatic,Used,90000,Jeddah,1437450000.0,Urban,Japan,6
Lexus,LX,2017,Gulf Arabic,Navy,Full,5.7,Gas,Automatic,Used,80897,Riyadh,1437450000.0,Urban,Japan,7
Porsche,911,2005,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,37000,Dammam,1437450000.0,Urban,Europe,19
Toyota,Land Cruiser,2021,Gulf Arabic,White,Full,4.6,Gas,Automatic,Used,9000,Al-Medina,1437450000.0,Urban,Japan,3
BMW,The 7,2020,Gulf Arabic,Black,Full,2.0,Gas,Automatic,Used,14000,Riyadh,1433343000.0,Urban,Europe,4
Mercedes,S,2018,Saudi,Grey,Full,3.6,Gas,Automatic,Used,73000,Riyadh,1416915000.0,Urban,Europe,6
Lexus,LX,2017,Gulf Arabic,Bronze,Full,5.7,Gas,Automatic,Used,68000,Dammam,1404594000.0,Urban,Japan,7
Lexus,LX,2017,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,51000,Dammam,1396380000.0,Urban,Japan,7
Lexus,LX,2018,Gulf Arabic,Golden,Full,7.5,Gas,Automatic,Used,122000,Taef,1396380000.0,Suburban,Japan,6
BMW,The 7,2019,Gulf Arabic,White,Full,3.0,Gas,Automatic,Used,6000,Riyadh,1375845000.0,Urban,Europe,5
Mercedes,S,2018,Saudi,Brown,Semi Full,5.0,Gas,Automatic,Used,30000,Dammam,1375845000.0,Urban,Europe,6
Mercedes,G,2017,Saudi,White,Full,4.0,Gas,Automatic,Used,113000,Dammam,1355310000.0,Urban,Europe,7
Mercedes,C,2018,Saudi,White,Full,4.0,Gas,Automatic,Used,33000,Dammam,1355310000.0,Urban,Europe,6
Mercedes,GLE,2020,Other,Black,Full,6.9,Gas,Automatic,Used,24000,Riyadh,1355310000.0,Urban,Europe,4
Other,Other,2019,Other,White,Full,8.0,Diesel,Manual,Used,24643,Qassim,1355310000.0,Suburban,Other,5
Bentley,Flying Spur,2014,Saudi,Black,Full,6.0,Gas,Automatic,Used,41000,Dammam,1355310000.0,Urban,Europe,10
Mercedes,S,2016,Saudi,Silver,Full,4.0,Gas,Automatic,Used,64000,Dammam,1355310000.0,Urban,Europe,8
Porsche,Panamera,2018,Saudi,Red,Standard,3.5,Gas,Automatic,Used,26000,Dammam,1355310000.0,Urban,Europe,6
Lexus,LS,2019,Saudi,Brown,Full,4.6,Gas,Automatic,Used,600,Jeddah,1351203000.0,Urban,Japan,5
Lexus,LX,2017,Saudi,Silver,Full,5.7,Gas,Automatic,Used,8000,Al-Ahsa,1334775000.0,Suburban,Japan,7
Audi,A8,2019,Saudi,Navy,Full,3.0,Gas,Automatic,Used,41000,Dammam,1334775000.0,Urban,Europe,5
BMW,The 7,2020,Gulf Arabic,White,Full,2.0,Gas,Automatic,Used,4500,Dammam,1334775000.0,Urban,Europe,4
Lexus,LS,2020,Saudi,Grey,Standard,3.5,Gas,Automatic,Used,2900,Riyadh,1334775000.0,Urban,Japan,4
Lexus,LX,2014,Saudi,White,Full,5.0,Gas,Automatic,Used,100000,Taef,1314240000.0,Suburban,Japan,10
Mercedes,S,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,53700,Qassim,1314240000.0,Suburban,Europe,6
Mercedes,S,2019,Saudi,Black,Full,4.0,Gas,Automatic,Used,30000,Makkah,1314240000.0,Urban,Europe,5
Land Rover,Range Rover,2016,Gulf Arabic,White,Full,5.0,Gas,Automatic,Used,56500,Dammam,1314240000.0,Urban,Europe,8
Mercedes,S,2018,Saudi,White,Full,4.5,Gas,Automatic,Used,83000,Jeddah,1293705000.0,Urban,Europe,6
Audi,A8,2018,Gulf Arabic,Black,Full,3.0,Gas,Automatic,Used,68800,Dammam,1293705000.0,Urban,Europe,6
GMC,Yukon,2021,Saudi,Black,Full,5.3,Gas,Automatic,Used,3700,Aseer,1273170000.0,Suburban,USA,3
Rolls-Royce,Ghost,2010,Saudi,Blue,Full,6.0,Gas,Automatic,Used,175000,Dammam,1273170000.0,Urban,Europe,14
Mercedes,S,2017,Saudi,Grey,Full,6.0,Gas,Automatic,Used,36000,Riyadh,1273170000.0,Urban,Europe,7
Bentley,Flying Spur,2015,Saudi,Black,Full,6.0,Gas,Automatic,Used,47000,Dammam,1273170000.0,Urban,Europe,9
Audi,A8,2018,Gulf Arabic,Red,Full,3.0,Gas,Automatic,Used,44500,Dammam,1273170000.0,Urban,Europe,6
Chevrolet,Tahoe,2021,Saudi,White,Full,5.3,Gas,Automatic,Used,800,Dammam,1273170000.0,Urban,USA,3
Toyota,Land Cruiser,2020,Saudi,White,Full,5.7,Gas,Automatic,Used,30000,Dammam,1252635000.0,Urban,Japan,4
Mercedes,CLS,2019,Saudi,Red,Semi Full,3.5,Gas,Automatic,Used,25000,Al-Ahsa,1232100000.0,Suburban,Europe,5
Lexus,LS,2018,Gulf Arabic,White,Full,3.5,Gas,Automatic,Used,55000,Dammam,1223886000.0,Urban,Japan,6
Toyota,Land Cruiser,2019,Saudi,White,Full,5.7,Gas,Automatic,Used,6000,Dammam,1223886000.0,Urban,Japan,5
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,Used,20000,Dammam,1215672000.0,Urban,Japan,3
Land Rover,Range Rover,2017,Saudi,White,Full,3.0,Gas,Automatic,Used,72500,Al-Medina,1211565000.0,Urban,Europe,7
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,Used,8000,Dammam,1211565000.0,Urban,Japan,3
Ford,F150,2019,Saudi,Blue,Semi Full,3.5,Gas,Automatic,Used,13339,Riyadh,1197190500.0,Urban,USA,5
Lexus,LS,2018,Gulf Arabic,Silver,Full,3.5,Gas,Automatic,Used,32000,Riyadh,1191030000.0,Urban,Japan,6
Land Rover,Range Rover,2020,Saudi,White,Full,2.0,Gas,Automatic,Used,4200,Qassim,1191030000.0,Suburban,Europe,4
Chevrolet,Suburban,2016,Saudi,Golden,Full,6.2,Gas,Automatic,Used,156000,Dammam,1191030000.0,Urban,USA,8
Toyota,Land Cruiser,2021,Gulf Arabic,White,Full,4.6,Gas,Automatic,Used,10000,Dammam,1191030000.0,Urban,Japan,3
Land Rover,Range Rover,2018,Other,Grey,Full,3.8,Gas,Automatic,Used,50000,Riyadh,1191030000.0,Urban,Europe,6
Mercedes,E,2021,Saudi,Black,Full,2.0,Gas,Automatic,Used,7000,Riyadh,1191030000.0,Urban,Europe,3
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,Used,6711,Riyadh,1191030000.0,Urban,Japan,3
Lexus,LX,2017,Saudi,Navy,Full,5.7,Gas,Automatic,Used,161000,Dammam,1191030000.0,Urban,Japan,7
Mercedes,S,2016,Saudi,Black,Semi Full,3.0,Gas,Automatic,Used,70000,Dammam,1191030000.0,Urban,Europe,8
Mercedes,S,2017,Saudi,White,Full,3.6,Gas,Automatic,Used,53000,Jeddah,1191030000.0,Urban,Europe,7
Toyota,Land Cruiser,2020,Gulf Arabic,White,Semi Full,5.7,Gas,Automatic,Used,14598,Riyadh,1188976500.0,Urban,Japan,4
Mercedes,GLC,2020,Gulf Arabic,Black,Full,2.8,Gas,Automatic,Used,13000,Jeddah,1186923000.0,Urban,Europe,4
Land Rover,Range Rover,2016,Saudi,Black,Full,4.0,Gas,Automatic,Used,70000,Riyadh,1182816000.0,Urban,Europe,8
Land Rover,Range Rover,2016,Saudi,White,Full,4.0,Gas,Automatic,Used,139000,Dammam,1182816000.0,Urban,Europe,8
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,Used,3549,Riyadh,1176655500.0,Urban,Japan,3
Toyota,Land Cruiser,2020,Saudi,Black,Full,4.6,Gas,Automatic,Used,18000,Riyadh,1170495000.0,Urban,Japan,4
Mercedes,E,2020,Saudi,Grey,Full,2.0,Gas,Automatic,Used,10000,Makkah,1170495000.0,Urban,Europe,4
Mercedes,SL,2017,Saudi,Grey,Full,4.7,Gas,Automatic,Used,29000,Dammam,1149960000.0,Urban,Europe,7
Cadillac,Escalade,2020,Saudi,Grey,Full,6.2,Gas,Automatic,Used,5000,Riyadh,1149960000.0,Urban,USA,4
Land Rover,Range Rover,2016,Saudi,Red,Semi Full,4.0,Gas,Automatic,Used,72000,Makkah,1149960000.0,Urban,Europe,8
Ferrari,GTB 599 Fiorano,2008,Saudi,Red,Full,6.0,Gas,Automatic,Used,59000,Dammam,1149960000.0,Urban,Europe,16
Porsche,911,2013,Saudi,Grey,Full,3.5,Gas,Automatic,Used,26000,Dammam,1149960000.0,Urban,Europe,11
Land Rover,Range Rover,2017,Saudi,White,Full,5.2,Gas,Automatic,Used,77000,Al-Medina,1129425000.0,Urban,Europe,7
Mercedes,GLC,2020,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,Used,7000,Riyadh,1129425000.0,Urban,Europe,4
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,Used,21000,Jazan,1129425000.0,Suburban,Japan,4
Toyota,Land Cruiser,2018,Saudi,White,Full,5.7,Gas,Automatic,Used,59000,Riyadh,1129425000.0,Urban,Japan,6
Mercedes,E,2017,Other,Black,Full,3.5,Gas,Automatic,Used,21000,Dammam,1129425000.0,Urban,Europe,7
Lexus,IS,2018,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,54000,Jeddah,1129425000.0,Urban,Japan,6
Mercedes,GLE,2018,Saudi,Black,Full,3.5,Gas,Automatic,Used,21000,Jeddah,1117104000.0,Urban,Europe,6
BMW,X,2020,Other,Black,Standard,3.3,Gas,Automatic,Used,15900,Riyadh,1108890000.0,Urban,Europe,4
Toyota,Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,61312,Riyadh,1108890000.0,Urban,Japan,6
Mercedes,C,2017,Saudi,Grey,Full,4.0,Gas,Automatic,Used,80000,Dammam,1108890000.0,Urban,Europe,7
Mercedes,S,2016,Saudi,White,Full,3.6,Gas,Automatic,Used,14000,Al-Ahsa,1108890000.0,Suburban,Europe,8
Mercedes,G,2015,Saudi,Black,Full,4.0,Gas,Automatic,Used,188000,Dammam,1108890000.0,Urban,Europe,9
Mercedes,C,2020,Other,White,Full,2.0,Gas,Automatic,Used,24000,Riyadh,1096569000.0,Urban,Europe,4
Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.6,Gas,Automatic,Used,6000,Dammam,1096569000.0,Urban,Japan,5
Land Rover,Range Rover,2016,Gulf Arabic,Black,Full,5.0,Gas,Automatic,Used,102522,Riyadh,1096569000.0,Urban,Europe,8
BMW,X,2020,Other,Black,Standard,3.3,Gas,Automatic,Used,55000,Riyadh,1092462000.0,Urban,Europe,4
Mercedes,GLC,2020,Other,Black,Standard,2.0,Gas,Automatic,Used,15391,Riyadh,1088355000.0,Urban,Europe,4
Mercedes,E,2020,Saudi,White,Full,2.0,Gas,Automatic,Used,16000,Dammam,1088355000.0,Urban,Europe,4
Mercedes,SL,2017,Saudi,Red,Full,4.7,Gas,Automatic,Used,81000,Jeddah,1088355000.0,Urban,Europe,7
Toyota,Land Cruiser,2020,Gulf Arabic,Grey,Full,4.6,Gas,Automatic,Used,19800,Dammam,1088355000.0,Urban,Japan,4
Nissan,Patrol,2021,Saudi,Silver,Full,4.0,Gas,Automatic,Used,1800,Riyadh,1088355000.0,Urban,Japan,3
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,Used,43000,Riyadh,1088355000.0,Urban,Japan,4
Land Rover,Range Rover,2015,Saudi,Another Color,Full,3.0,Gas,Automatic,Used,71500,Riyadh,1088355000.0,Urban,Europe,9
Lexus,LS,2018,Gulf Arabic,Grey,Semi Full,4.6,Gas,Automatic,Used,23000,Al-Ahsa,1088355000.0,Suburban,Japan,6
Toyota,Land Cruiser,2021,Saudi,White,Semi Full,4.5,Diesel,Automatic,Used,20000,Riyadh,1088355000.0,Urban,Japan,3
Toyota,Land Cruiser,2019,Other,White,Full,5.7,Gas,Automatic,Used,12400,Riyadh,1088355000.0,Urban,Japan,5
BMW,X,2020,Other,White,Standard,3.3,Gas,Automatic,Used,11578,Riyadh,1076034000.0,Urban,Europe,4
Toyota,Land Cruiser,2021,Saudi,White,Semi Full,4.5,Diesel,Automatic,Used,15000,Dammam,1076034000.0,Urban,Japan,3
Cadillac,Escalade,2019,Saudi,Grey,Full,6.2,Gas,Automatic,Used,58678,Riyadh,1073980500.0,Urban,USA,5
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,101000,Jeddah,1067820000.0,Urban,Japan,5
Toyota,Land Cruiser,2021,Gulf Arabic,White,Full,4.6,Gas,Automatic,Used,3000,Al-Jouf,1067820000.0,Suburban,Japan,3
Toyota,Land Cruiser,2018,Saudi,White,Full,5.7,Gas,Automatic,Used,126000,Jeddah,1067820000.0,Urban,Japan,6
Mercedes,S,2017,Other,Navy,Full,3.0,Gas,Automatic,Used,53000,Riyadh,1067820000.0,Urban,Europe,7
Mercedes,S,2015,Gulf Arabic,Grey,Full,3.6,Gas,Automatic,Used,53000,Riyadh,1067820000.0,Urban,Europe,9
Mercedes,S,2014,Saudi,Oily,Semi Full,4.0,Gas,Automatic,Used,138000,Dammam,1067820000.0,Urban,Europe,10
Land Rover,Range Rover,2015,Gulf Arabic,White,Full,4.0,Gas,Automatic,Used,140000,Riyadh,1067820000.0,Urban,Europe,9
Mercedes,S,2014,Other,Grey,Full,4.0,Gas,Automatic,Used,29000,Dammam,1067820000.0,Urban,Europe,10
Toyota,Land Cruiser,2020,Saudi,White,Semi Full,4.5,Diesel,Automatic,Used,10000,Riyadh,1063713000.0,Urban,Japan,4
Mercedes,E,2021,Other,White,Standard,2.7,Gas,Automatic,Used,4000,Riyadh,1063713000.0,Urban,Europe,3
Nissan,Patrol,2021,Saudi,Black,Full,4.0,Gas,Automatic,Used,4900,Riyadh,1059606000.0,Urban,Japan,3
BMW,X,2020,Other,White,Standard,3.3,Gas,Automatic,Used,20000,Riyadh,1055499000.0,Urban,Europe,4
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,Used,46800,Dammam,1055499000.0,Urban,Japan,4
Land Rover,Range Rover,2016,Gulf Arabic,Black,Full,5.0,Gas,Automatic,Used,120346,Riyadh,1055499000.0,Urban,Europe,8
Mercedes,S,2015,Saudi,Navy,Full,5.0,Gas,Automatic,Used,99000,Dammam,1047285000.0,Urban,Europe,9
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,53000,Dammam,1047285000.0,Urban,Japan,5
Land Rover,Range Rover,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,Used,110000,Riyadh,1047285000.0,Urban,Europe,8
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,38000,Dammam,1047285000.0,Urban,Japan,5
Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,Used,1900,Jeddah,1047285000.0,Urban,Japan,8
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,63000,Dammam,1034964000.0,Urban,Japan,5
Land Rover,Range Rover,2016,Gulf Arabic,Black,Full,4.0,Gas,Automatic,Used,102000,Riyadh,1034964000.0,Urban,Europe,8
Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,Used,1918,Jeddah,1032910500.0,Urban,Japan,8
Lincoln,Continental GT,2020,Saudi,Grey,Semi Full,3.7,Gas,Automatic,Used,3500,Dammam,1026750000.0,Urban,USA,4
Toyota,Land Cruiser,2020,Gulf Arabic,White,Semi Full,5.7,Gas,Automatic,Used,124000,Jeddah,1026750000.0,Urban,Japan,4
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Diesel,Automatic,Used,110000,Qassim,1026750000.0,Suburban,Japan,5
Land Rover,Range Rover,2014,Saudi,Bronze,Full,5.0,Gas,Automatic,Used,106000,Dammam,1026750000.0,Urban,Europe,10
Land Rover,Range Rover,2016,Gulf Arabic,Grey,Full,4.0,Gas,Automatic,Used,58000,Riyadh,1026750000.0,Urban,Europe,8
BMW,The 7,2018,Gulf Arabic,Bronze,Full,2.0,Gas,Automatic,Used,12500,Jubail,1026750000.0,Urban,Europe,6
Lexus,GS,2018,Gulf Arabic,White,Full,5.0,Gas,Automatic,Used,95000,Riyadh,1026750000.0,Urban,Japan,6
Mercedes,S,2014,Gulf Arabic,Black,Full,3.6,Gas,Automatic,Used,49000,Riyadh,1026750000.0,Urban,Europe,10
Land Rover,Range Rover,2017,Gulf Arabic,Black,Full,4.0,Gas,Automatic,Used,90000,Riyadh,1026750000.0,Urban,Europe,7
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,52000,Jeddah,1018536000.0,Urban,Japan,5
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,Used,38000,Jeddah,1018536000.0,Urban,Japan,5
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,Used,59000,Jeddah,1018536000.0,Urban,Japan,4
BMW,The 7,2019,Saudi,White,Full,3.0,Gas,Automatic,Used,14000,Jeddah,1014429000.0,Urban,Europe,5
Mercedes,S,2017,Other,White,Full,3.6,Gas,Automatic,Used,26000,Riyadh,1006215000.0,Urban,Europe,7
Land Rover,Range Rover,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,Used,125000,Riyadh,1006215000.0,Urban,Europe,8
Land Rover,Range Rover,2016,Gulf Arabic,White,Full,5.0,Gas,Automatic,Used,132501,Riyadh,1006215000.0,Urban,Europe,8
Audi,A6,2021,Other,White,Full,2.0,Gas,Automatic,Used,1800,Dammam,1006215000.0,Urban,Europe,3
